;British Units;;;;;;;SI Units;;;
;T (in R);cp (in Btu/lb/R);k (in Btu/ft/R/s);emissivity;reflectivity;h (Btu/lb);;T (in K);cp (J/kg/K);k (W/m/K);h(J/kg)
Virgin;460;2.10E-01;6.38E-05;0.8;0.8;-3.86E+02;;2.56E+02;8.79E+02;3.98E-01;-8.97E+05
;536.4;2.35E-01;6.46E-05;0.8;0.8;-3.69E+02;;2.98E+02;9.84E+02;4.03E-01;-8.57E+05
;800;3.10E-01;6.68E-05;0.8;0.8;-2.97E+02;;4.44E+02;1.30E+03;4.16E-01;-6.90E+05
;1000;3.50E-01;7.27E-05;0.8;0.8;-2.31E+02;;5.56E+02;1.47E+03;4.53E-01;-5.37E+05
;1160;3.75E-01;7.54E-05;0.8;0.8;-1.73E+02;;6.44E+02;1.57E+03;4.70E-01;-4.02E+05
;1500;4.10E-01;7.80E-05;0.8;0.8;-3.92E+01;;8.33E+02;1.72E+03;4.86E-01;-9.12E+04
;2000;4.45E-01;8.40E-05;0.8;0.8;1.75E+02;;1.11E+03;1.86E+03;5.23E-01;4.06E+05
;2500;4.62E-01;8.99E-05;0.8;0.8;4.01E+02;;1.39E+03;1.93E+03;5.60E-01;9.33E+05
;3000;4.73E-01;1.12E-04;0.8;0.8;6.35E+02;;1.67E+03;1.98E+03;6.98E-01;1.48E+06
;3500;4.75E-01;1.40E-04;0.8;0.8;8.72E+02;;1.94E+03;1.99E+03;8.72E-01;2.03E+06
;4000;4.78E-01;1.78E-04;0.8;0.8;1.11E+03;;2.22E+03;2.00E+03;1.11E+00;2.58E+06
;5000;4.80E-01;2.81E-04;0.8;0.8;1.59E+03;;2.78E+03;2.01E+03;1.75E+00;3.70E+06
;6000;4.80E-01;4.46E-04;0.8;0.8;2.07E+03;;3.33E+03;2.01E+03;2.78E+00;4.81E+06
;;;;;;;;;;;
Char;460;1.75E-01;6.38E-05;0.9;0.9;-1.38E+01;;2.56E+02;7.33E+02;3.98E-01;-3.22E+04
;536.4;1.87E-01;6.46E-05;0.9;0.9;0.00E+00;;2.98E+02;7.83E+02;4.03E-01;0.00E+00
;800;2.61E-01;6.68E-05;0.9;0.9;5.91E+01;;4.44E+02;1.09E+03;4.16E-01;1.37E+05
;1000;3.15E-01;7.27E-05;0.9;0.9;1.17E+02;;5.56E+02;1.32E+03;4.53E-01;2.71E+05
;1160;3.42E-01;7.54E-05;0.9;0.9;1.69E+02;;6.44E+02;1.43E+03;4.70E-01;3.94E+05
;1500;4.00E-01;7.80E-05;0.9;0.9;2.95E+02;;8.33E+02;1.68E+03;4.86E-01;6.87E+05
;2000;4.40E-01;8.40E-05;0.9;0.9;5.05E+02;;1.11E+03;1.84E+03;5.23E-01;1.18E+06
;2500;4.70E-01;8.99E-05;0.9;0.9;7.33E+02;;1.39E+03;1.97E+03;5.60E-01;1.71E+06
;3000;4.90E-01;9.71E-05;0.9;0.9;9.73E+02;;1.67E+03;2.05E+03;6.05E-01;2.26E+06
;3500;5.00E-01;1.17E-04;0.9;0.9;1.22E+03;;1.94E+03;2.09E+03;7.29E-01;2.84E+06
;4000;5.04E-01;1.48E-04;0.9;0.9;1.47E+03;;2.22E+03;2.11E+03;9.22E-01;3.42E+06
;5000;5.10E-01;2.34E-04;0.9;0.9;1.98E+03;;2.78E+03;2.14E+03;1.46E+00;4.60E+06
;6000;5.14E-01;3.72E-04;0.9;0.9;2.49E+03;;3.33E+03;2.15E+03;2.32E+00;5.79E+06
;;;;;;;;;;;
h_formation(char, T=298 K) in J/kg =;;;;0;;;;;;;
h_formation (phenolic, T=298 K) in J/kg =;;;;-2.00E+06;;h_formation (virgin, T=298 K) in J/kg =;;;;-8.57E+05;
;;;;;;h_formation (virgin, T=536.4 R) in Btu/lb =;;;;-3.69E+02;
"Main source: “Performance of a Low Density Ablative Heat Shield Material”; JOURNAL OF SPACECRAFT AND ROCKETS, Vol. 45, No. 4, July–August 2008.";;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
Note for FIAT/CMA users;;;;;;;;;;;
tau= (1-rho_c/rho) / (1-rho_c/rho_v);;;;;;;;;;;
cp = tau cp_v + (1-tau) cp_c;;;;;;;;;;;
k = tau k_v + (1-tau) k_c;;;;;;;;;;;
